,subject,session,block,select,rank,n_features,fold,hoda,train_score,val_score,test_score
153,4,0,0,False,1,1,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8220871810147949,0.7747083128848924,0.8034596255879389
154,4,0,0,False,1,1,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.817280309800417,0.80301423211487,0.8078724133276574
155,4,0,1,False,4,17,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.836700244923366,0.8062181122448979,0.8158258142891258
156,4,0,1,False,4,17,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8331825070597599,0.8198182397959183,0.8109977053503753
157,4,0,1,False,4,17,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8470420017873102,0.7773362673547897,0.8142891258527064
158,4,0,1,False,4,17,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8388134246847384,0.7915525511738724,0.8015595311023662
159,4,0,1,False,4,17,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8351256081819085,0.8048822961356404,0.8111430677700368
160,4,0,2,False,4,33,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8484418968625822,0.8073660714285715,0.8230524031522878
161,4,0,2,False,4,33,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8409177638328178,0.8154177295918367,0.80610729823177
162,4,0,2,False,4,33,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.853551782345348,0.785109313407317,0.8112676641297463
163,4,0,2,False,4,33,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8416999304934963,0.795114537654155,0.8027743456095358
164,4,0,2,False,4,33,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8525975573428656,0.812956132157614,0.8175078651452068
165,4,0,3,False,4,49,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8588989648989429,0.8079241071428572,0.8106031502112948
166,4,0,3,False,4,49,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8460015839236703,0.8170918367346939,0.8071248351693991
167,4,0,3,False,4,49,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8588779664382882,0.7910301264900977,0.810322808401948
168,4,0,3,False,4,49,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8501499354582465,0.7809615780391661,0.7981123651503983
169,4,0,3,False,4,49,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=4)",0.8565216959586933,0.8119587759431349,0.8145279355421499
170,4,0,4,False,1,50,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8643197900260386,0.8097735969387756,0.803625754067552
171,4,0,4,False,1,50,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8461809895459056,0.8152582908163265,0.804165671626294
172,4,0,4,False,1,50,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8637017178035945,0.7917900169392246,0.8114337926093593
173,4,0,4,False,1,50,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8559904676794756,0.7762597558851934,0.7925885932032687
174,4,0,4,False,1,50,4,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8564233939032866,0.811562999667548,0.8143410410025854
175,4,0,5,False,1,51,0,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8643346578952846,0.8097417091836734,0.8032208158984956
176,4,0,5,False,1,51,1,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8488482852886399,0.8127072704081633,0.801092294753455
177,4,0,5,False,1,51,2,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8643789097408402,0.7926607247455157,0.8107900447508593
178,4,0,5,False,1,51,3,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=1)",0.8587250521298779,0.776022290119841,0.7949663070677284
