,block,rank,fold,n_features_orig,n_features,hoda,train_score,val_score,dataset,subject,session
138,6,"(4, 4)",4,289,117,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8792468112244898,0.8216224489795918,BNCI2014-008,1,0
139,6,"(8, 8)",4,337,138,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8804068877551022,0.8220918367346939,BNCI2014-008,1,0
140,7,"(1, 1)",0,338,134,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8818380102040817,0.8548673469387755,BNCI2014-008,1,0
141,7,"(2, 2)",0,341,135,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8807831632653061,0.8571938775510205,BNCI2014-008,1,0
142,7,"(4, 4)",0,353,141,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8817442602040816,0.8595714285714285,BNCI2014-008,1,0
143,7,"(8, 8)",0,401,155,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8818507653061224,0.8567346938775509,BNCI2014-008,1,0
144,7,"(1, 1)",1,338,133,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8850102040816328,0.8441836734693876,BNCI2014-008,1,0
145,7,"(2, 2)",1,341,134,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8847844387755102,0.844469387755102,BNCI2014-008,1,0
146,7,"(4, 4)",1,353,141,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8852716836734695,0.8441224489795918,BNCI2014-008,1,0
147,7,"(8, 8)",1,401,159,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8856715561224491,0.8438979591836735,BNCI2014-008,1,0
148,7,"(1, 1)",2,338,133,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8905733418367345,0.815673469387755,BNCI2014-008,1,0
149,7,"(2, 2)",2,341,136,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8909413265306122,0.8163673469387754,BNCI2014-008,1,0
150,7,"(4, 4)",2,353,145,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8919432397959185,0.8161530612244898,BNCI2014-008,1,0
151,7,"(8, 8)",2,401,159,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8930440051020407,0.8159183673469388,BNCI2014-008,1,0
152,7,"(1, 1)",3,338,133,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8862538265306121,0.8293367346938776,BNCI2014-008,1,0
153,7,"(2, 2)",3,341,134,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8867704081632654,0.8289489795918367,BNCI2014-008,1,0
154,7,"(4, 4)",3,353,139,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(4, 4))",0.8872538265306122,0.8318673469387756,BNCI2014-008,1,0
155,7,"(8, 8)",3,401,160,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(8, 8))",0.8912397959183672,0.8246326530612246,BNCI2014-008,1,0
156,7,"(1, 1)",4,338,139,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(1, 1))",0.8818105867346938,0.8230714285714286,BNCI2014-008,1,0
157,7,"(2, 2)",4,341,142,"HODA(init='random', max_iter=64, obj='tr', random_state=42, rank=(2, 2))",0.8811377551020407,0.8226428571428571,BNCI2014-008,1,0
